modelo,parametro,etiqueta,estimacion,ee,ic_bajo,ic_alto,p,est_std
CLPM clasico,dolor(t-1) -> dolor(t) [autorregresivo],a,0.4796297438737414,0.02765205539119304,0.42543271120849646,0.5338267765389864,0,0.4572878931943193
CLPM clasico,motor(t-1) -> dolor(t) [cruzado inverso],b,0.004528588747775525,0.001713591657209343,0.0011700108154369076,0.007887166680114141,0.008223652451894159,0.04749342630724306
CLPM clasico,dolor(t-1) -> motor(t) [cruzado directo],c,0.6538127169745827,0.227379494915389,0.20815709611751204,1.0994683378316532,0.00403483805490934,0.05218566534320665
CLPM clasico,motor(t-1) -> motor(t) [autorregresivo],e,0.7630554647493057,0.020281894749680705,0.7233036815016995,0.8028072479969119,0,0.6699478401138456
RI-CLPM,dolor(t-1) -> dolor(t) [autorregresivo],a,0.16000922470134654,0.03976377712749278,0.08207365364218315,0.23794479576050992,5.7219227949323326e-5,0.15428757013784422
RI-CLPM,motor(t-1) -> dolor(t) [cruzado inverso],b,0.006058760948177506,0.004018735850367618,-0.0018178165819229706,0.013935338478277982,0.1316496186177707,0.05449924635366641
RI-CLPM,dolor(t-1) -> motor(t) [cruzado directo],c,0.9655800288997466,0.38863661434417396,0.20386626171158329,1.7272937960879098,0.012972191975571645,0.08012814818310197
RI-CLPM,motor(t-1) -> motor(t) [autorregresivo],e,0.5375923203015488,0.07130729067677255,0.39783259873994586,0.6773520418631518,4.729550084903167e-14,0.4161698826463813
