ajuste,n,beta_de,ic_bajo,ic_alto,p
sin ajuste,794,0.1727360805144592,0.09257707440165384,0.25289508662726456,2.6845891736310388e-5
+ analgesico (sin aspirina),794,0.1568911504932181,0.07579962447053312,0.2379826765159031,1.6081603481974392e-4
+ analgesico (cualquiera),794,0.15736568140346094,0.0767735519118666,0.23795781089505527,1.3992848454983135e-4
+ opioide,794,0.16178519778322623,0.08354071614202818,0.24002967942442427,5.56625113366079e-5
