modelo,r_rasgo,p_rasgo,dolor_motor,p_dolor_motor,motor_dolor,p_motor_dolor,cfi,rmsea,srmr,aic,bic
RI-CLPM (solo intercepto),0.17490862946766822,0.006137816477388647,0.9655800288570232,0.012972192011958095,0.0060587609477911275,0.13164961882199355,0.9596513576224378,0.0670996048502747,0.06895016579153676,33125.677418511084,33313.70063619699
"Curva latente, cargas centradas",0.18900511570416534,0.009566487170717064,0.5924383442232052,0.15954435478608975,0.003975973321497897,0.41886706310787325,0.9825262896999545,0.04739767993289505,0.04285020683596051,33092.75148539587,33316.346663184515
"Curva latente, cargas 0 a 5",0.24155178754865467,0.041541349048880516,0.5925774701193229,0.15969465460307242,0.003980289100408462,0.418629287576334,0.9825124849594581,0.047416399010866264,0.04283361767512285,33092.75165144701,33316.346829235656
