cohorte,n_pacientes,n_obs,media_motor,de_motor,media_dolor,de_dolor,r_rasgo,ee_rasgo,p_rasgo,cruzado_dolor_motor_p,cruzado_motor_dolor_p,cfi,rmsea,srmr
Parkinson (articulo),1174,3180,26.373899371069147,11.642310295009503,0.8584905660377354,0.931487689523341,0.15880026360774477,0.28780652447421434,0.026050077043227038,0.0073613932593359355,0.08518359859174796,0.9543224305082979,0.07157454135821442,0.07540581519535386
Prodromica,1744,3367,4.8770418770418855,6.3040672753273395,0.8215028215028228,0.9765100888224223,0.21272968741510992,0.2309035476319254,0.0017399851800343757,0.1828579178296268,0.20029696464452829,0.9479646872016011,0.11278948599963774,0.1373228224253192
Controles sanos,307,1257,1.7104216388225921,3.099798827011056,0.4821002386634845,0.7507147631086698,0.1428658361872786,0.08076329563263254,0.06946552823426622,0.6383406090021149,0.4803906892722969,0.9819218994774875,0.04529386526936947,0.08931870710804665
