ajuste,n,b,lo,hi,p
sin Parte IV,620,0.19962494561580602,0.11292344632688069,0.28632644490473136,7.66973526217972e-6
+ Parte IV,620,0.15947161460199277,0.07169658722357176,0.2472466419804138,3.9813448196194e-4
