especificacion,estimacion,ic_bajo,ic_alto,p
regresion estandar SIN ajustar por LEDD,2.6957165929754487,1.4278948686672166,3.963538317283681,3.08003804264656e-5
regresion estandar AJUSTANDO por LEDD,2.6115396865684777,1.3361150860012523,3.886964287135703,5.9884444559510364e-5
modelo estructural marginal (IPTW estabilizado),1.7059618574324953,0.38426626994010116,3.0276574449248894,0.011411285963160323
MSM con IC por remuestreo de pacientes,1.7059618574324953,0.7172834531255134,2.670402795362685,NA
estimacion g por sustitucion,1.6515396779864808,0.7205555735465801,2.5942547506838487,NA
