indicador,carga_std,p
rigidez,0.705714017782895,NA
bradicinesia,0.8083218578595164,0
axial,0.6020177438833954,0
bulbar,0.6693797150235022,0
temblor,0.041870056617210556,0.3256409365533601
dolor,0.22541315351595856,2.647893750928887e-7
moca,-0.21152174965827858,1.9738489649423485e-6
