dominio,n,beta_de,ic_bajo,ic_alto,p
rigidez,792,0.045437439584600905,-0.019191042190009458,0.11006592135921127,0.16859863025575264
bradicinesia,792,0.12868190498637827,0.05404513425690173,0.20331867571585482,7.626522171348746e-4
axial,792,0.19793555435424343,0.11166335145953192,0.2842077572489549,7.935701097057992e-6
bulbar,792,0.140747557833699,0.07616867052242007,0.20532644514497791,2.1769742822097074e-5
temblor,792,-0.07278825835264004,-0.15137807094967626,0.005801554244396184,0.0698570332276539
