modelo,n,termino,estimacion,ee,ic_bajo,ic_alto,p
UPDRS3 ~ dolor_int x fenotipo_bl,696,dolor_int:fenotipo_blIndeterminado,-0.8401616485404956,1.9571171228207487,-4.676111209269163,2.9957879121881716,0.667850386694445
UPDRS3 ~ dolor_int x fenotipo_bl,696,dolor_int:fenotipo_blPIGD,-1.2757632959483902,1.2128125858366368,-3.652875964188198,1.1013493722914176,0.293213649576481
UPDRS3 ~ dolor_int x fenotipo_conc,699,dolor_int:fenotipo_concIndeterminado,1.2797525181015346,1.8157476491592948,-2.279112874250683,4.838617910453753,0.4811682284670634
UPDRS3 ~ dolor_int x fenotipo_conc,699,dolor_int:fenotipo_concPIGD,0.29228906441535063,1.175376723979643,-2.0114493145847496,2.596027443415451,0.8036848071878356
UPDRS3 ~ dolor_si x fenotipo_bl,696,dolor_si:fenotipo_blIndeterminado,-3.7774414702298738,3.4103369109649537,-10.461701815721183,2.9068188752614357,0.26840352260947264
UPDRS3 ~ dolor_si x fenotipo_bl,696,dolor_si:fenotipo_blPIGD,-2.0234492039705065,2.2509750680033327,-6.4353603372570385,2.3884619293160254,0.3690100465781647
UPDRS3 ~ dolor_si x fenotipo_conc,699,dolor_si:fenotipo_concIndeterminado,4.546535750920133,3.3288155520207785,-1.977942731040593,11.07101423288086,0.17244369023980483
UPDRS3 ~ dolor_si x fenotipo_conc,699,dolor_si:fenotipo_concPIGD,-2.5573878091363618,2.1893332383654447,-6.848480956332633,1.7337053380599095,0.24316537070645125
UPDRS3_resto ~ dolor_int x fenotipo_bl,693,dolor_int:fenotipo_blIndeterminado,-1.244065572356966,1.6368524632156496,-4.452296400259639,1.964165255545707,0.44749577921074746
UPDRS3_resto ~ dolor_int x fenotipo_bl,693,dolor_int:fenotipo_blPIGD,-2.2803781024170022,1.03714206540661,-4.313176550613957,-0.24757965422004702,0.02823291107110729
UPDRS3_resto ~ dolor_int x fenotipo_conc,699,dolor_int:fenotipo_concIndeterminado,-0.07919059095701465,1.445585101481791,-2.912537389861325,2.754156207947296,0.9563288214457009
UPDRS3_resto ~ dolor_int x fenotipo_conc,699,dolor_int:fenotipo_concPIGD,-0.2295288345149546,1.0312963182679094,-2.2508696183200567,1.7918119492901474,0.8239412686697631
UPDRS3_resto ~ dolor_si x fenotipo_bl,693,dolor_si:fenotipo_blIndeterminado,-3.496100735439151,2.9608773721467183,-9.29942038484672,2.3072189139684167,0.23810706496980452
UPDRS3_resto ~ dolor_si x fenotipo_bl,693,dolor_si:fenotipo_blPIGD,-4.050064707106388,2.0333705991710573,-8.03547108148166,-0.0646583327311161,0.046790928330657885
UPDRS3_resto ~ dolor_si x fenotipo_conc,699,dolor_si:fenotipo_concIndeterminado,1.4833378731333482,2.6534328689644813,-3.7173905500370346,6.684066296303731,0.576325647489937
UPDRS3_resto ~ dolor_si x fenotipo_conc,699,dolor_si:fenotipo_concPIGD,-2.651804295044704,1.9930149849203225,-6.558113665488536,1.2545050753991278,0.1837776063813157
