desenlace,via,estimacion,ic_bajo,ic_alto,p,est_std,r_rasgo,p_rasgo
Parte III (examinador),exposicion(t-1) -> desenlace(t),0.9655800288895011,0.20386626329555102,1.7272937944834512,0.012972191787074872,0.08012814818240374,0.17490862946322586,0.006137816258509732
Parte III (examinador),desenlace(t-1) -> exposicion(t),0.006058760948084604,-0.0018178165713050847,0.013935338467474292,0.13164961809869613,0.05449924635282718,0.17490862946322586,0.006137816258509732
Parte II (autoinformada),exposicion(t-1) -> desenlace(t),0.03030894227593087,-0.2475918054317284,0.30820968998359016,0.8307331769504587,0.004993720887300561,0.5333767274274306,4.1389114358025836e-13
Parte II (autoinformada),desenlace(t-1) -> exposicion(t),0.03343034647668554,0.019446354642003755,0.04741433831136732,2.7924986436556054e-6,0.11005988130818896,0.5333767274274306,4.1389114358025836e-13
