modelo,parametro,ola,etiqueta,estimacion,ee,ic_bajo,ic_alto,p,est_std
RI-CLPM libre (PRIMARIO),dolor(t-1) -> dolor(t) [autorregresivo],2,a2,0.06371400655517764,0.05822326248825409,-0.050401490984222266,0.17782950409457754,0.2738212384202874,0.06192049771013093
RI-CLPM libre (PRIMARIO),motor(t-1) -> dolor(t) [cruzado inverso],2,b2,0.013906614575107784,0.009895101736861651,-0.005487428452500781,0.033300657602716346,0.15990120759760496,0.10985838875925898
RI-CLPM libre (PRIMARIO),dolor(t-1) -> motor(t) [cruzado directo],2,c2,1.3489115407317698,0.6306826510667993,0.11279625896660161,2.585026822496938,0.03245090769313008,0.13189264178558455
RI-CLPM libre (PRIMARIO),motor(t-1) -> motor(t) [autorregresivo],2,e2,0.12754073567616916,0.14163325569855745,-0.15005534450615574,0.40513681585849404,0.3678542669294178,0.10136739802767424
RI-CLPM libre (PRIMARIO),dolor(t-1) -> dolor(t) [autorregresivo],3,a3,0.14180930058630017,0.0651826285124947,0.014053696284156952,0.2695649048884434,0.029587509588137495,0.13677035596107184
RI-CLPM libre (PRIMARIO),motor(t-1) -> dolor(t) [cruzado inverso],3,b3,0.008564720612320881,0.006077090689162143,-0.003346158269220613,0.020475599493862375,0.15873302134175704,0.08210373014285688
RI-CLPM libre (PRIMARIO),dolor(t-1) -> motor(t) [cruzado directo],3,c3,0.25193217254230377,0.7300198834274819,-1.178880506973689,1.6827448520582966,0.7300168138649268,0.020127602305730463
RI-CLPM libre (PRIMARIO),motor(t-1) -> motor(t) [autorregresivo],3,e3,0.43823105130839846,0.09498426756944889,0.25206530777436287,0.624396794842434,3.95520445839459e-6,0.3479957847675145
RI-CLPM libre (PRIMARIO),dolor(t-1) -> dolor(t) [autorregresivo],4,a4,0.19624262899097278,0.07260725734469829,0.053935019579132853,0.33855023840281273,0.006875886308263857,0.1869110502213118
RI-CLPM libre (PRIMARIO),motor(t-1) -> dolor(t) [cruzado inverso],4,b4,-2.8428156951976433e-5,0.006344425618408588,-0.012463273871626065,0.012406417557722113,0.9964248439516752,-3.268655722950541e-4
RI-CLPM libre (PRIMARIO),dolor(t-1) -> motor(t) [cruzado directo],4,c4,1.2422653659219598,0.703305839668791,-0.13618874994557184,2.620719481789491,0.07734165471656995,0.09940442451370872
RI-CLPM libre (PRIMARIO),motor(t-1) -> motor(t) [autorregresivo],4,e4,0.5835945312188872,0.08043159739362955,0.42595149710834757,0.7412375653294268,3.992361996552063e-13,0.5637433121666652
RI-CLPM libre (PRIMARIO),dolor(t-1) -> dolor(t) [autorregresivo],5,a5,0.24515792531154465,0.08084326619178057,0.08670803518307021,0.4036078154400191,0.0024252993468623085,0.23116921676828994
RI-CLPM libre (PRIMARIO),motor(t-1) -> dolor(t) [cruzado inverso],5,b5,0.007590234402915427,0.006295513052444083,-0.004748744444076791,0.019929213249907644,0.22794946361204516,0.08519018053275693
RI-CLPM libre (PRIMARIO),dolor(t-1) -> motor(t) [cruzado directo],5,c5,0.5916957018314728,0.8028582756944387,-0.981877603219556,2.1652690068825016,0.461130565727506,0.04929549248747143
RI-CLPM libre (PRIMARIO),motor(t-1) -> motor(t) [autorregresivo],5,e5,0.606790882431198,0.06622863933248146,0.4769851345944416,0.7365966302679545,0,0.601725100569249
RI-CLPM libre (PRIMARIO),dolor(t-1) -> dolor(t) [autorregresivo],6,a6,0.2460118864189398,0.08758437703268666,0.07434966182649691,0.41767411101138274,0.004971790851091784,0.22143538512828434
RI-CLPM libre (PRIMARIO),motor(t-1) -> dolor(t) [cruzado inverso],6,b6,-0.00233910654941868,0.007872797963980252,-0.017769507016380234,0.013091293917542875,0.7663806345879767,-0.023829569936430556
RI-CLPM libre (PRIMARIO),dolor(t-1) -> motor(t) [cruzado directo],6,c6,0.9193483291770994,0.7783318753330892,-0.6061541144952742,2.444850772849473,0.23753209995527924,0.07441701252717822
RI-CLPM libre (PRIMARIO),motor(t-1) -> motor(t) [autorregresivo],6,e6,0.5753225550856945,0.10736447740815824,0.36489204614674015,0.7857530640246488,8.387248184860141e-8,0.5270827577625823
