dominio,n,beta_de,ee,ic_bajo,ic_alto,p,p_holm
rigidez,792,0.14235326520465216,0.0379105108971284,0.0680486638462805,0.21665786656302383,1.8614298365937935e-4,3.722859673187587e-4
bradicinesia,792,0.16880821994609518,0.03942590882030666,0.09153343865829414,0.24608300123389623,2.0844241309506718e-5,1.042212065475336e-4
axial,792,0.18707090334714663,0.0474484083114541,0.09407202305669658,0.28006978363759666,8.778608097231695e-5,2.6335824291695087e-4
bulbar,792,0.14141947542593006,0.034261290003142035,0.07426734701977167,0.20857160383208845,4.056069474888544e-5,1.6224277899554176e-4
temblor,792,0.004608637196775678,0.038637627944977083,-0.07112111357537941,0.08033838796893077,0.9050852177598079,0.9050852177598079
TOTAL (referencia),792,0.18286946210552568,0.04106404588207132,0.1023839321766659,0.26335499203438545,9.681954189046037e-6,5.8091725134276216e-5
