modelo,n,termino,estimacion,ee,ic_bajo,ic_alto,p
UPDRS3 | regla: jankovic,696,dolor_int:jankovicPIGD,-1.2757632959483902,1.2128125858366368,-3.652875964188198,1.1013493722914176,0.293213649576481
UPDRS3_resto | regla: jankovic,693,dolor_int:jankovicPIGD,-2.2803781024170022,1.03714206540661,-4.313176550613957,-0.24757965422004702,0.02823291107110729
UPDRS3 | regla: cero_indeterminado,696,dolor_int:cero_indeterminadoPIGD,-1.4342701820762869,1.2828676151906957,-3.9486907078500506,1.0801503436974766,0.26395030958636007
UPDRS3_resto | regla: cero_indeterminado,693,dolor_int:cero_indeterminadoPIGD,-2.37549374907424,1.1035951666092467,-4.538540275628364,-0.2124472225201166,0.03170727675064815
UPDRS3 | regla: cero_excluido,518,dolor_int:cero_excluidoPIGD,-1.4739995990561658,1.2864542320293058,-3.995449893833605,1.0474506957212733,0.25242369751448174
UPDRS3_resto | regla: cero_excluido,516,dolor_int:cero_excluidoPIGD,-2.42921922410532,1.1063678420757954,-4.5977001945738785,-0.26073825363676084,0.02856877339033418
