serie,n_obs,n_pac,var_entre,var_intra,icc
Dolor (MDS-UPDRS 1.9),3180,1174,0.3418417191928442,0.5307466701953433,0.39175597950887864
MDS-UPDRS III total,3180,1174,71.45682727450576,62.17814948230334,0.5347165016876079
MoCA,3156,1171,4.630090056631626,3.149390752049111,0.5951669745704801
GDS-15,3168,1172,4.490245923409948,2.678686086560165,0.6263479577104635
