EVENT_ID,n_presente,n_total,pct
BL,1157,1190,97.22689075630252
V04,711,1190,59.747899159663866
V06,473,1190,39.747899159663866
V08,324,1190,27.22689075630252
V10,279,1190,23.445378151260503
V12,236,1190,19.831932773109244
