desenlace,n,sin_estilo,p_sin,con_estilo,p_con,atenuacion_pct
Parte III (explorada),793,0.17311181221329833,2.585837185774278e-5,0.22394496592428992,4.831442498382128e-7,-29.364347274210225
Parte II (autoinformada),793,0.44790078351537604,6.588814215981639e-28,0.10386520796943316,4.887056450781319e-7,76.81066615819671
