fuente,modelo,n_obs,estimacion,ic_bajo,ic_alto,p,est_de,singular
mixto rezagado (confunde entre e intra persona),"4.3 dolor(t-1) -> motor(t), orden de visita",1842,0.5833691169929505,0.1495913880431411,1.0171468459427597,0.008461653945366998,0.0460004235783321,TRUE
mixto rezagado (confunde entre e intra persona),"4.4 motor(t-1) -> dolor(t), orden de visita",1842,0.004641148750232204,8.600895621283847e-4,0.008422207938336023,0.016350566945934394,0.05885821559111099,FALSE
mixto rezagado (confunde entre e intra persona),4.3 con tiempo real transcurrido,1842,0.6058874595260904,0.17241422357195463,1.0393606954802261,0.006211140256892624,0.04777606315991613,TRUE
mixto rezagado (confunde entre e intra persona),4.4 con tiempo real transcurrido,1842,0.004511800461996993,7.078208884767224e-4,0.008315780035517263,0.02032785658816199,0.05721784381140703,FALSE
mixto rezagado (confunde entre e intra persona),4.3 solo pares adyacentes,1794,0.6199133086294722,0.1810610771173468,1.0587655401415976,0.005686954759402829,0.04888204388636781,TRUE
mixto rezagado (confunde entre e intra persona),4.4 solo pares adyacentes,1794,0.004537475102150601,6.863890334691146e-4,0.008388561170832087,0.021169884745850936,0.05754344499049221,FALSE
ventana unica BL->V04 (confunde entre e intra persona),Ventana BL->V04: dolor -> motor,742,1.0025097581019229,0.30784117649528275,1.6971783397085631,0.004802969329994004,0.0895114385318135,NA
ventana unica BL->V04 (confunde entre e intra persona),Ventana BL->V04: motor -> dolor,825,0.0073319334510387885,0.0014176066171934874,0.01324626028488409,0.015321672819304624,0.08211615130962163,NA
