visita,termino,OR,ic_bajo,ic_alto,p
V04,dolor_bl,0.9417697230330906,0.8224699051707269,1.0783740604316905,0.38531529337172404
V04,motor_bl,1.0100331707544756,0.9973183745506996,1.0229100676942142,0.12245436449400038
V04,edad_bl,0.9794599141802713,0.966517801300326,0.9925753278370589,0.002227358353432898
V04,sexoVaron,1.0862115256202836,0.8430166288213431,1.3995637073493432,0.5225143360205637
V04,dur_bl,0.9773529601721329,0.9216082417842456,1.0364694730896882,0.4445563465667606
V04,moca_bl,0.9613025523817592,0.9128745236269687,1.0122996899334045,0.13453185371321583
V06,dolor_bl,0.8992794558469608,0.7839146616835239,1.031621908909888,0.12963134018288713
V06,motor_bl,0.9982102811422144,0.9857645504154854,1.0108131449422084,0.7796002213806931
V06,edad_bl,0.9874763649534058,0.9747117775940897,1.0004081142309413,0.05762599677961186
V06,sexoVaron,1.1170900110178503,0.8667739695020211,1.4396949338854728,0.3923153600382906
V06,dur_bl,0.9594890852620566,0.9016198169635852,1.021072615548112,0.19258857240968408
V06,moca_bl,0.9591997631965992,0.9117763124872331,1.0090898097654788,0.10735010998060013
V08,dolor_bl,0.9463204714999839,0.811791398979253,1.1031435365119442,0.4806566420036468
V08,motor_bl,0.9831489709757525,0.9689769722697081,0.9975282455542601,0.021786464545463607
V08,edad_bl,0.9849312792585556,0.9708705514460622,0.9991956429381815,0.03848156827926652
V08,sexoVaron,1.0241351304817625,0.7732793309770333,1.3563698439497642,0.8678681913769548
V08,dur_bl,0.8453976926506737,0.7734442012793127,0.9240450152149831,2.1512351251521173e-4
V08,moca_bl,1.0179140483913902,0.96094094355799,1.07826502435841,0.5457089415214834
V10,dolor_bl,0.9071572191852529,0.7684973804459554,1.0708354267159326,0.2495955183431223
V10,motor_bl,0.9707754257282566,0.9554915724214439,0.9863037565151921,2.489785467084331e-4
V10,edad_bl,0.9710916525392624,0.9563787333261814,0.9860309151289031,1.65862067235515e-4
V10,sexoVaron,1.1194217724035243,0.827550516696053,1.5142339703127694,0.46421551505191616
V10,dur_bl,0.8770512485850932,0.8002295694382013,0.9612477744164074,0.005030500743062983
V10,moca_bl,0.9622026935440252,0.9060692728189303,1.0218137301830748,0.2089849204522363
V12,dolor_bl,0.9383099455180433,0.7885640476559819,1.1164921308232998,0.47287567732393504
V12,motor_bl,0.9669943323918525,0.9506761787211699,0.9835925836869209,1.1098700648477021e-4
V12,edad_bl,0.9738897198250396,0.9583713851739657,0.989659333587811,0.0012450395061972153
V12,sexoVaron,1.0647386973211201,0.7750744990067027,1.4626574542523711,0.6985993777129165
V12,dur_bl,0.8444394065814359,0.7613512722300582,0.9365951531136816,0.0013765214692868016
V12,moca_bl,0.9660836821807327,0.9066558318855897,1.0294068026175314,0.28676744597603226
