especificacion,n,estimacion,ee,ic_bajo,ic_alto,p
ANCOVA (ajusta por el basal),698,1.0721061863584576,0.40615333954494864,0.2760456408503582,1.868166731866557,0.008486168382103245
puntuacion de cambio (sin ajustar el basal),698,0.7268436843327725,0.4415190375180484,-0.13853362920260237,1.5922209978681474,0.10016962589052857
