termino,estimacion,ee,p,ic_bajo,ic_alto
dolor basal (nivel),1.0048520820637081,0.3183990492798162,0.0016412178993191284,0.38078994547526834,1.628914218652148
tiempo (pendiente),2.2906975767889537,0.1613516084397382,1.1738534530020015e-37,1.9744484242470668,2.6069467293308404
dolor basal x tiempo,0.18799314545681084,0.14274014532899468,0.1885256189185039,-0.09177753938801875,0.4677638303016404
