ajuste,n,b,lo,hi,p
sin DAT,777,0.18790981789126196,0.10705725762330395,0.26876237815922,6.0793269069804436e-6
con DAT,777,0.19022005240089424,0.11227898667277131,0.26816111812901716,2.0642027674944348e-6
