sexo,n,beta_de,ic_bajo,ic_alto,p
Mujer,275,0.26270338778299684,0.10894447486173728,0.4164623007042564,9.274002959309664e-4
Varon,519,0.11465111955044216,0.024346150525358323,0.204956088575526,0.01314696341189269
