fluct,n,b,lo,hi,p
sin complicaciones,319,0.19836516997103468,0.08485646733433487,0.31187387260773447,6.961593720445597e-4
con complicaciones,301,0.14874277025529917,0.009617403286304449,0.2878681372242939,0.0369796961833993
