dominio,r_rasgo,p,cfi,rmsea
rigidez,0.13067493621275209,0.03577116846376982,0.941521606699776,0.0747918905823896
bradicinesia,0.15508376772307536,0.01665385249549023,0.9729227656201467,0.053909162471577975
axial,0.25296142724409754,0.002256741117795835,0.9328389156245969,0.0927164215145696
bulbar,0.013192233568942887,0.8311343467635297,0.9729552290848177,0.04788416714696452
temblor,0.03530762613068353,0.5784022579877341,0.9689530376984365,0.06134349474200799
TOTAL (referencia),0.15880026360774477,0.026050077043227038,0.9543224305082979,0.07157454135821442
