modificador,termino,estimacion,ic_bajo,ic_alto,p
SAA positivo,scale(dolor):g1,0.07637174628126164,-0.26042934664927,0.41317283921179326,0.656856829399492
Portador GBA,scale(dolor):g1,-0.23311133996938918,-0.5300707748815405,0.0638480949427622,0.12430583059801335
