sintoma,n,estimacion,ic_bajo,ic_alto,p,p_holm,p_bh
dolor,698,0.9333025168580477,0.24030650569083722,1.626298528025258,0.008486168382103376,0.05091701029262025,0.029701589337361813
AVD,697,1.1028630254681562,0.35318255001721355,1.852543500919099,0.0040568449400274825,0.028397914580192377,0.028397914580192377
depresion,694,-0.4698143664718323,-1.0780415808642307,0.1384128479205663,0.13049402038665245,0.5798158774563165,0.22836453567664178
ansiedad,695,-0.5162037466705779,-1.1590270394787447,0.12661954613758897,0.11596317549126328,0.5798158774563165,0.22836453567664178
sueno_REM,696,-0.09468847035732697,-0.7425504602317181,0.5531735195170642,0.7746085646652381,1,0.8993655330392645
autonomico,691,0.4470309609897758,-0.1896108369959667,1.0836727589755184,0.1691934587098617,0.5798158774563165,0.23687084219380636
somnolencia,696,0.04040907226640828,-0.5856449221111671,0.6664630666439838,0.8993655330392645,1,0.8993655330392645
