contraste,diferencia,ee,ic_bajo,ic_alto,p
Parkinson menos Prodromica,-0.05398785105079881,0.09118800202611602,-0.23271305084415161,0.12473734874255399,0.5538171479144025
Parkinson menos Controles,0.01587740971652249,0.10977494911744885,-0.19927753695839417,0.23103235639143915,0.8849982709294948
