modelo,cfi,rmsea,srmr
CLPM clasico,0.8774377753768458,0.11376999481619444,0.1120371360113615
RI-CLPM restringido,0.9596513576223022,0.06709960485038745,0.06895016578877174
RI-CLPM libre (PRIMARIO),0.963303599971474,0.07658686682236739,0.04444162735930176
