visita,n,concordancia,kappa
V04,701,0.7403708987161198,0.4431748747403153
V06,460,0.7130434782608696,0.39642147117296217
V08,318,0.6635220125786163,0.271110920697485
V10,270,0.6111111111111112,0.2511885895404121
V12,232,0.5948275862068966,0.2272147413182141
