contraste,r1,r2,diferencia,ic_bajo,ic_alto,z,p
Parkinson vs controles sanos,0.15880026360774477,0.1428658361872786,0.015934427420466163,-0.10941879860358741,0.14151399647658516,0.25331479872098706,0.8000249612410636
Parkinson vs prodromica,0.15880026360774477,0.21272968741510992,-0.05392942380736515,-0.1292218383946026,0.018200369380086595,-1.4783735709045631,0.13930781541525378
Prodromica vs controles sanos,0.21272968741510992,0.1428658361872786,0.06986385122783131,-0.04961390565088934,0.191614075476036,1.1611786518974083,0.24556925451247527
