razon,desenlace,n,estimacion,ee,ic_bajo,ic_alto,p
log_ratio_bl,UPDRS3,488,0.9384127680762072,0.6066105392065454,-0.25054388876862166,2.127369424921036,0.12252773660823357
log_ratio_bl,UPDRS3_resto,486,1.1933377857989869,0.5093713343871813,0.19496997040011155,2.191705601197862,0.019550632302683273
log_ratio_p3,UPDRS3,406,-0.4315776998477763,0.9861672457198267,-2.3644655014586364,1.501310101763084,0.6618909317990003
log_ratio_p3,UPDRS3_resto,405,0.3537484493703586,0.7909320524529757,-1.1964783734374738,1.903975272178191,0.6549347474029081
log_ratio_p2,UPDRS3,223,0.8166699465743636,1.897493191234369,-2.902416708245,4.535756601393727,0.6673400744879281
log_ratio_p2,UPDRS3_resto,223,0.8446894331997767,1.4617854904630678,-2.020410128107836,3.7097889945073894,0.5639716188181862
