sintoma,r_rasgo,p_rasgo,p_sintoma_a_motor,p_motor_a_sintoma
dolor,0.15880026360774477,0.026050077043227038,0.0073613932593359355,0.08518359859174796
fatiga,0.14744568386323442,0.03184159804649367,0.606908862876292,0.2839029246804894
insomnio,0.2766529687535952,8.260059083164961e-5,0.4948154377800329,0.018727005808754305
somnolencia,0.2070978974021399,0.008314367635088304,0.04800838194522372,0.962687319952126
