desenlace,n,sin_indice,p_sin,con_indice,p_con,atenuacion_pct
Parte III (explorada),794,0.1727360805144592,2.6845891736310388e-5,0.14413796782518143,0.0015103396324994722,16.555957854377688
Parte II (autoinformada),794,0.44784848822860646,6.100586063606606e-28,0.27598751031244245,7.845595213710649e-13,38.37480362966789
