ajuste,n,b,lo,hi,p
sin ajustar por estilo,793,0.17311181221329833,0.09294280148771708,0.25328082293887955,2.585837185774278e-5
ajustado por estilo de reporte,793,0.22394496592428992,0.13746176830388607,0.31042816354469377,4.831442498382128e-7
