cohorte,r,ee,ic_bajo,ic_alto,p
Parkinson,0.15873992494274758,0.069494623685459,0.022532965400083788,0.2949468844854114,0.022359521323813913
Prodromica,0.2127277759935464,0.05904023198092037,0.09701104767205261,0.3284445043150402,3.1444620411957835e-4
Controles,0.1428625152262251,0.08497668346493636,-0.023688723890710445,0.30941375434316065,0.09272472478814286
