termino,estimacion,ee,p
dolor basal (nivel),1.0880138200559226,0.3179931631935885,6.445734411700863e-4
tiempo (pendiente),2.258853165931212,0.1662520343518487,3.569241279331766e-35
dolor basal x tiempo,0.17245030589834182,0.14954814713851647,0.24946554931491702
