g,n,b,lo,hi,p,modificador
0,56,0.1584356931802069,-0.16746224186512992,0.4843336282255437,0.3451572222711633,SAA positivo
1,669,0.19799732985721694,0.10981162036893327,0.2861830393455006,1.2572079568700193e-5,SAA positivo
0,713,0.21194020127386629,0.12591127462997645,0.2979691279177561,1.685403922763465e-6,Portador GBA
1,83,-0.016657276286884445,-0.2952055131862853,0.2618909606125164,0.9069959983263878,Portador GBA
