desenlace,n,estimacion,ic_bajo,ic_alto,p
moca_v04,694,-0.13060035410012502,-0.33189944165018875,0.07069873344993871,0.20393653799716457
gds_v04,696,0.28026059077589954,0.08758240916779289,0.47293877238400617,0.004489447231075609
