region,n,beta_de,ic_bajo,ic_alto,p
miembro superior,796,0.14745805460161054,0.07063677067107184,0.22427933853214926,1.8085505073462289e-4
miembro inferior,796,0.18536719935034518,0.10995679204251903,0.26077760665817135,1.7390871595056593e-6
diferencia inferior menos superior,796,0.037909144748734636,-0.017242562640178316,0.09049532459862733,0.184
