termino,n_obs,estimacion,ee,p
dolor basal (nivel a mitad de seguimiento),2912,1.5434977309779085,0.7373951668457072,0.0363334626486006
tiempo (pendiente),2912,2.2065389700161213,0.1990004623845814,0
dolor basal x tiempo,2912,0.21238883923549995,0.29553269955217365,0.4723477042841936
