fenotipo,n,dolor_medio,de,pct_con_dolor,motor_medio
TD,482,0.7655601659751038,0.8752882492308227,54.9792531120332,25.82572614107884
Indeterminado,65,1.0307692307692307,0.9995191151441091,66.15384615384615,26.015384615384612
PIGD,161,0.9875776397515527,0.9486014550362518,66.45962732919256,26.62111801242236
